,no.,Municipio,Provincia,Mes de origen ,Dia de origen,Mes de extincion,Dia extincion,Causas,Area Afectada en Tareas,Metros Cuadrados,Mes de origen .1,Fecha origen,Fecha Extincion,Fecha Mes
156,157,Padre Las Casas,Elías Piña,Mayo,2,Mayo,2,Conuquismo,60,37728.0,5,05/02/2021,05/02/2021,May-2021
157,158,Padre Las Casas,Elías Piña,Mayo,3,Mayo,3,Conuquismo,60,37728.0,5,05/03/2021,05/03/2021,May-2021
158,159,Villa Altagracia,Elías Piña,Mayo,16,Mayo,16,Conuquismo,15,9432.0,5,05/16/2021,05/16/2021,May-2021
159,160,Constanza,Elías Piña,Mayo,16,Mayo,16,Conuquismo,25,15719.999999999998,5,05/16/2021,05/16/2021,May-2021
160,161,Loma de Cabrera,Elías Piña,Mayo,15,Mayo,15,Conuquismo,15,9432.0,5,05/15/2021,05/15/2021,May-2021
161,162,Janico,Elías Piña,Mayo,14,Mayo,15,Ganaderia,40,25152.0,5,05/14/2021,05/15/2021,May-2021
162,163,SAJOMA,Elías Piña,Mayo,15,Mayo,15,Ganaderia,12,7545.599999999999,5,05/15/2021,05/15/2021,May-2021
163,164,Loma de Cabrera,Elías Piña,Mayo,14,Mayo,14,Conuquismo,20,12576.0,5,05/14/2021,05/14/2021,May-2021
164,165,Duverge,Elías Piña,Mayo,14,Mayo,15,Conuquismo,35,22008.0,5,05/14/2021,05/15/2021,May-2021
165,166,Ocoa,Elías Piña,Mayo,6,Mayo,6,Ganaderia,12,7545.599999999999,5,05/06/2021,05/06/2021,May-2021
166,167,Bonao,Elías Piña,Mayo,15,Mayo,15,Conuquismo,10,6288.0,5,05/15/2021,05/15/2021,May-2021
167,168,Bonao,Elías Piña,Mayo,18,Mayo,18,Conuquismo,40,25152.0,5,05/18/2021,05/18/2021,May-2021
168,169,Constanza,Elías Piña,Mayo,17,Mayo,17,Conuquismo,20,12576.0,5,05/17/2021,05/17/2021,May-2021
169,170,Janico,Elías Piña,Mayo,17,Mayo,17,Ganaderia,15,9432.0,5,05/17/2021,05/17/2021,May-2021
170,171,Azua,Elías Piña,Mayo,24,Mayo,26,Intencional,20,12576.0,5,05/24/2021,05/26/2021,May-2021
171,172,Pepillo Salcedo,Elías Piña,Junio,19,Junio,19,Desconocida,200,125759.99999999999,6,06/19/2021,06/19/2021,Jun-2021
172,173,Moncion,Elías Piña,Junio,28,Junio,28,Conuquismo,50,31439.999999999996,6,06/28/2021,06/28/2021,Jun-2021
173,174,SAJOMA,Elías Piña,Junio,29,Junio,29,Caminantes,5,3144.0,6,06/29/2021,06/29/2021,Jun-2021
174,175,SAJOMA,Elías Piña,Junio,25,Junio,26,Intencional,45,28295.999999999996,6,06/25/2021,06/26/2021,Jun-2021
175,176,Barahona,Elías Piña,Junio,25,Junio,26,Conuquismo,100,62879.99999999999,6,06/25/2021,06/26/2021,Jun-2021
176,177,Constanza,Elías Piña,Julio ,1,Julio ,2,Conuquismo,35,22008.0,7,07/01/2021,07/02/2021,Jul-2021
177,178,Moncion,Elías Piña,Julio ,1,Julio ,2,Intencional,40,25152.0,7,07/01/2021,07/02/2021,Jul-2021
178,179,Luperon,Elías Piña,Julio ,6,Julio ,6,Conuquismo,100,62879.99999999999,7,07/06/2021,07/06/2021,Jul-2021
179,180,Moncion,Elías Piña,Julio ,13,Julio ,13,Conuquismo,40,25152.0,7,07/13/2021,07/13/2021,Jul-2021
180,181,Jarabacoa,Elías Piña,Julio ,9,Julio ,9,Conuquismo,150,94320.0,7,07/09/2021,07/09/2021,Jul-2021
181,182,Constanza,Elías Piña,Julio ,17,Julio ,17,Desconocida,15,9432.0,7,07/17/2021,07/17/2021,Jul-2021
182,183,Moncion,Elías Piña,Julio ,13,Julio ,13,Ganaderia,18,11318.4,7,07/13/2021,07/13/2021,Jul-2021
183,184,Hondo Valle,Elías Piña,Julio ,21,Julio ,21,Conuquismo,80,50304.0,7,07/21/2021,07/21/2021,Jul-2021
184,185,Moncion,Elías Piña,Julio ,26,Julio ,26,Intencional,53,33326.399999999994,7,07/26/2021,07/26/2021,Jul-2021
185,186,Oviedo,Elías Piña,Julio ,31,agosto,1,Intencional,30,18864.0,7,07/31/2021,07/01/2021,Jul-2021
186,187,SAJOMA,Elías Piña,Agosto,3,Agosto,3,Conuquismo,20,12576.0,8,08/03/2021,08/03/2021,Aug-2021
187,188,Constanza,Elías Piña,Agosto,7,Agosto,7,Intencional,50,31439.999999999996,8,08/07/2021,08/07/2021,Aug-2021
188,189,Moncion,Elías Piña,Agosto,6,Agosto,6,Conuquismo,10,6288.0,8,08/06/2021,08/06/2021,Aug-2021
189,190,Restauracion ,Elías Piña,Agosto,14,Agosto,15,Conuquismo,150,94320.0,8,08/14/2021,08/15/2021,Aug-2021
190,191,Duverge,Elías Piña,Agosto,14,Agosto,15,Descarga Electrica,200,125759.99999999999,8,08/14/2021,08/15/2021,Aug-2021
191,192,Duverge,Elías Piña,Agosto,14,Agosto,15,Descarga Electrica,150,94320.0,8,08/14/2021,08/15/2021,Aug-2021
192,193,Padre Las Casas,Elías Piña,Agosto,14,Agosto,15,Descarga Electrica,50,31439.999999999996,8,08/14/2021,08/15/2021,Aug-2021
193,194,Sabaneta,Elías Piña,Agosto,15,Agosto,16,Desconocida,125,78600.0,8,08/15/2021,08/16/2021,Aug-2021
194,195,SAJOMA,Elías Piña,Agosto,21,Agosto,23,Ganaderia,270,169776.0,8,08/21/2021,08/23/2021,Aug-2021
195,196,Sabaneta,Elías Piña,Agosto,22,Agosto,22,Conuquismo,37,23265.6,8,08/22/2021,08/22/2021,Aug-2021
196,197,Dajabon,Elías Piña,Agosto,25,Agosto,26,Intencional,60,37728.0,8,08/25/2021,08/26/2021,Aug-2021
197,198,SAJOMA,Elías Piña,Agosto,24,Agosto,24,Desconocida,16,10060.8,8,08/24/2021,08/24/2021,Aug-2021
198,199,Janico,Elías Piña,Agosto,18,Agosto,19,Intencional,60,37728.0,8,08/18/2021,08/19/2021,Aug-2021
199,200,SAJOMA,Elías Piña,Agosto,27,Agosto,27,Conuquismo,40,25152.0,8,08/27/2021,08/27/2021,Aug-2021
200,201,Pedro Santana,Elías Piña,Agosto,27,Agosto,26,Conuquismo,50,31439.999999999996,8,08/27/2021,08/26/2021,Aug-2021
201,202,Padre Las Casas,Elías Piña,Agosto,10,Agosto,10,Conuquismo,40,25152.0,8,08/10/2021,08/10/2021,Aug-2021
202,203,Padre Las Casas,Elías Piña,Agosto,14,Agosto,14,Conuquismo,50,31439.999999999996,8,08/14/2021,08/14/2021,Aug-2021
203,204,Constanza,Elías Piña,Agosto,29,Agosto,30,Intencional,378,237686.4,8,08/29/2021,08/30/2021,Aug-2021
204,205,Constanza,Elías Piña,Agosto,29,Agosto,29,Conuquismo,40,25152.0,8,08/29/2021,08/29/2021,Aug-2021
205,206,Sabaneta,Elías Piña,Agosto,29,Agosto,30,Conuquismo,200,125759.99999999999,8,08/29/2021,08/30/2021,Aug-2021
206,207,Ocoa,Elías Piña,Agosto,28,Agosto,29,Conuquismo,300,188640.0,8,08/28/2021,08/29/2021,Aug-2021
207,208,Padre Las Casas,Elías Piña,Agosto,29,Agosto,30,Conuquismo,150,94320.0,8,08/29/2021,08/30/2021,Aug-2021
